ticker,sector,klass,in_ntm
AKI.NS,Textiles Apparels & Accessories,genuine-company,False
AKIKO.NS,Commercial Services & Supplies,genuine-company,False
AKSHAR.NS,Textiles Apparels & Accessories,genuine-company,False
AKSHARCHEM.NS,Chemicals & Petrochemicals,genuine-company,False
AKSHOPTFBR.NS,Telecommunications Equipment,genuine-company,False
ALBERTDAVD.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ALCODIS.NS,"Food, Beverages & Tobacco",genuine-company,False
ALEMBICLTD.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ALICON.NS,Automobiles & Auto Components,genuine-company,False
ALKALI.NS,Chemicals & Petrochemicals,genuine-company,False
ALLCARGO.NS,Transportation,genuine-company,False
ALLDIGI.NS,Software & Services,genuine-company,False
ALLETEC.NS,Software & Services,genuine-company,False
ALLTIME.NS,Consumer Durables,genuine-company,False
ALPA.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ALPEXSOLAR.NS,Utilities,genuine-company,False
ALPHAGEO.NS,Oil & Gas,genuine-company,False
ALUWIND.NS,Metals & Mining,genuine-company,False
AMAGI.NS,Software & Services,genuine-company,False
AMANTA.NS,Pharmaceuticals & Biotechnology,genuine-company,False
AMBAAUTO.NS,Retailing,genuine-company,False
AMBANIORGO.NS,Chemicals & Petrochemicals,genuine-company,False
AMBICAAGAR.NS,Consumer Durables,genuine-company,False
AMBIKCO.NS,Textiles Apparels & Accessories,genuine-company,False
AMCL.NS,Metals & Mining,genuine-company,False
AMDIND.NS,Commercial Services & Supplies,genuine-company,False
AMEYA.NS,General Industrials,genuine-company,False
AMIABLE.NS,Transportation,genuine-company,False
AMIRCHAND.NS,"Food, Beverages & Tobacco",genuine-company,False
AMJLAND.NS,Realty,genuine-company,False
AMNPLST.NS,Chemicals & Petrochemicals,genuine-company,False
AMRUTANJAN.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ANANTAM.NS,Realty,genuine-company,False
ANDHRAPAP.NS,Commercial Services & Supplies,genuine-company,False
ANDHRSUGAR.NS,Chemicals & Petrochemicals,genuine-company,False
ANIKINDS.NS,Diversified,genuine-company,False
ANKITMETAL.NS,Metals & Mining,genuine-company,False
ANLON.NS,General Industrials,genuine-company,False
ANMOL.NS,Commercial Services & Supplies,genuine-company,False
ANNAPURNA.NS,FMCG,genuine-company,False
ANONDITA.NS,FMCG,genuine-company,False
ANSALAPI.NS,Realty,genuine-company,False
ANTELOPUS.NS,Oil & Gas,genuine-company,False
ANTGRAPHIC.NS,Commercial Services & Supplies,genuine-company,False
ANUHPHR.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ANYA.NS,Commercial Services & Supplies,genuine-company,False
ANZEN.NS,Utilities,genuine-company,False
APCL.NS,Cement and Construction,genuine-company,False
APCOTEXIND.NS,Automobiles & Auto Components,genuine-company,False
APEX.NS,"Food, Beverages & Tobacco",genuine-company,False
APEXECO.NS,Utilities,genuine-company,False
APOLLOPIPE.NS,General Industrials,genuine-company,False
APOLSINHOT.NS,Hotels Restaurants & Tourism,genuine-company,False
APRAMEYA.NS,Hardware Technology & Equipment,genuine-company,False
APS.NS,Utilities,genuine-company,False
APSISAERO.NS,General Industrials,genuine-company,False
APTECHT.NS,Software & Services,genuine-company,False
AQYLON.NS,Media,genuine-company,False
ARABIAN.NS,Oil & Gas,genuine-company,False
ARCHIDPLY.NS,Forest Materials,genuine-company,False
ARCHIES.NS,Retailing,genuine-company,False
ARCIIL.NS,General Industrials,genuine-company,False
ARFIN.NS,Metals & Mining,genuine-company,False
ARHAM.NS,Consumer Durables,genuine-company,False
ARIES.NS,Chemicals & Petrochemicals,genuine-company,False
ARIHANTACA.NS,Diversified Consumer Services,genuine-company,False
