symbol,name,sector
BORANA,,Textiles Apparels & Accessories
BOROLTD,,Consumer Durables
BOROSCI,,Commercial Services & Supplies
BOSCH-HCIL,,Consumer Durables
BOSS,,General Industrials
BPL,,Consumer Durables
BRACEPORT,,Transportation
BRANDMAN,,Retailing
BRIGHOTEL,,Hotels Restaurants & Tourism
BRNL,,Cement and Construction
BROOKS,,Pharmaceuticals & Biotechnology
BSHSL,,"Food, Beverages & Tobacco"
BSL,,Textiles Apparels & Accessories
BTML,,Media
BULKCORP,,Commercial Services & Supplies
BUTTERFLY,,Consumer Durables
BVCL,,Cement and Construction
C2C,,General Industrials
CALSOFT,,Software & Services
CAMLINFINE,,Chemicals & Petrochemicals
CAMS,,Software & Services
CANARYS,,Software & Services
CANTABIL,,Textiles Apparels & Accessories
CAPACITE,,Cement and Construction
CARRARO,,Automobiles & Auto Components
CARYSIL,,Consumer Durables
CCAVENUE,,Software & Services
CCCL,,Cement and Construction
CCHHL,,Hotels Restaurants & Tourism
CEDAAR,,Textiles Apparels & Accessories
CEIGALL,,Cement and Construction
CELEBRITY,,Textiles Apparels & Accessories
CELLECOR,,Commercial Services & Supplies
CELLPOINT,,Retailing
CENTENKA,,Textiles Apparels & Accessories
CENTEXT,,Metals & Mining
CENTUM,,Commercial Services & Supplies
CEREBRAINT,,Hardware Technology & Equipment
CEWATER,,Utilities
CGRAPHICS,,Commercial Services & Supplies
CHAMUNDA,,Cement and Construction
CHANDAN,,Healthcare
CHAVDA,,Cement and Construction
CHEMBOND,,Chemicals & Petrochemicals
CHEMBONDCH,,Chemicals & Petrochemicals
CHEMCON,,Chemicals & Petrochemicals
CHEMFAB,,Chemicals & Petrochemicals
CHEMPLASTS,,Chemicals & Petrochemicals
CHETANA,,Commercial Services & Supplies
CHEVIOT,,Forest Materials
CHOLAHLDNG,,Diversified
CINELINE,,Media
CINEVISTA,,Media
CITIUSINVT,,Realty
CKKRETAIL,,"Food, Beverages & Tobacco"
CLASSICEIL,,General Industrials
CLCIND,,Textiles Apparels & Accessories
CLEANMAX,,Utilities
CLEDUCATE,,Diversified Consumer Services
CLSEL,,"Food, Beverages & Tobacco"
CLSL,,Chemicals & Petrochemicals
CMICABLES,,Consumer Durables
CMNL,,Metals & Mining
CMPDI,,Commercial Services & Supplies
CMRGREEN,,Metals & Mining
CMRSL,,Media
CNL,,Retailing
COASTCORP,,"Food, Beverages & Tobacco"
COFFEEDAY,,Hotels Restaurants & Tourism
COMMITTED,,Transportation
COMPINFO,,Commercial Services & Supplies
COMPUSOFT,,Software & Services
COMSYN,,Commercial Services & Supplies
CONFIPET,,Oil & Gas
CONNPLEX,,Media
CONTI,,"Food, Beverages & Tobacco"
CONTROLPR,,Hardware Technology & Equipment
COOLCAPS,,General Industrials
CORDSCABLE,,Consumer Durables
COSMOFIRST,,Commercial Services & Supplies
COUNCODOS,,Realty
CPCAP,,Diversified Consumer Services
CPEDU,,Diversified Consumer Services
CPS,,Textiles Apparels & Accessories
CRAYONS,,Media
CREATIVEYE,,Media
CROWN,,Transportation
CSSL,,Diversified Consumer Services
CTE,,Software & Services
CUBEXTUB,,Metals & Mining
CUDML,,Media
CURAA,,Software & Services
CURIS,,Pharmaceuticals & Biotechnology
CURRENT,,Utilities
CYBERMEDIA,,Commercial Services & Supplies
CYBERTECH,,Software & Services
CYIENTDLM,,Commercial Services & Supplies
DALMIASUG,,"Food, Beverages & Tobacco"
DAMODARIND,,Textiles Apparels & Accessories
DANGEE,,"Food, Beverages & Tobacco"
DANISH,,General Industrials
DAVANGERE,,"Food, Beverages & Tobacco"
DBCORP,,Commercial Services & Supplies
DBEIL,,Cement and Construction
DBOL,,"Food, Beverages & Tobacco"
DCAL,,Pharmaceuticals & Biotechnology
DCG,,Consumer Durables
DCI,,Hardware Technology & Equipment
DCM,,General Industrials
DCMNVL,,Textiles Apparels & Accessories
DCMSIL,,General Industrials
DCMSRIND,,"Food, Beverages & Tobacco"
DCW,,Chemicals & Petrochemicals
DCXINDIA,,General Industrials
DDEVPLSTIK,,General Industrials
DECCANCE,,Cement and Construction
DECCANTRAN,,Transportation
DEEDEV,,Cement and Construction
DEEM,,Metals & Mining
DEEPINDS,,Oil & Gas
DELAPLEX,,Software & Services
DELTACORP,,Diversified Consumer Services
DELTAMAGNT,,General Industrials
DELTIC,,Automobiles & Auto Components
DEN,,Media
DENEERS,,Metals & Mining
DENORA,,General Industrials
DENTA,,Utilities
DEVX,,Diversified Consumer Services
DGCONTENT,,Media
DHAMPURSUG,,"Food, Beverages & Tobacco"
DHANLAXMI,,"Food, Beverages & Tobacco"
DHANSA,,Chemicals & Petrochemicals
DHANUKA,,Chemicals & Petrochemicals
DHARAN,,Realty
DHARARAIL,,Automobiles & Auto Components
DHARIWAL,,Chemicals & Petrochemicals
DHARMAJ,,Chemicals & Petrochemicals
DHRUV,,Commercial Services & Supplies
DHTL,,Diversified Consumer Services
DIAMINESQ,,Chemicals & Petrochemicals
DICIND,,Chemicals & Petrochemicals
DIFFNKG,,General Industrials
DIGIDRIVE,,Commercial Services & Supplies
DIGIKORE,,Media
DIGISPICE,,Software & Services
DIGITIDE,,Software & Services
DIGJAMLMTD,,Textiles Apparels & Accessories
DIL,,Hotels Restaurants & Tourism
DIRL,,Realty
